Loan_ID,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
LP063,Female,No,Not Graduate,No,6978,123,0,N
LP064,Male,Yes,Not Graduate,No,9244,222,0,N
LP065,Male,No,Graduate,Yes,10445,219,1,Y
LP066,Male,No,Graduate,Yes,5262,87,0,N
LP067,Female,No,Not Graduate,Yes,9461,156,0,N
LP068,Female,Yes,Graduate,Yes,4417,217,0,N
LP069,Male,Yes,Graduate,No,13401,182,1,Y
LP070,Female,No,Not Graduate,No,4184,255,1,N
LP071,Female,Yes,Not Graduate,No,4607,240,1,N
LP072,Female,No,Graduate,Yes,14547,249,1,Y
LP073,Female,No,Not Graduate,Yes,13690,123,0,N
LP074,Male,Yes,Not Graduate,Yes,4267,88,0,N
LP075,Female,Yes,Not Graduate,Yes,8797,154,1,Y
LP076,Female,Yes,Not Graduate,No,8883,149,0,N
LP077,Male,No,Not Graduate,Yes,6892,242,1,Y
LP078,Female,No,Graduate,No,6471,161,1,Y
LP079,Male,No,Graduate,Yes,13864,92,1,Y
LP080,Female,Yes,Graduate,Yes,3375,214,1,N
LP081,Female,No,Graduate,No,6262,147,1,Y
LP082,Female,No,Not Graduate,Yes,14471,275,1,Y
LP083,Male,Yes,Not Graduate,Yes,9705,54,0,N
LP084,Male,Yes,Graduate,Yes,14357,57,0,N
LP085,Female,No,Graduate,No,4068,171,0,N
LP086,Female,Yes,Graduate,Yes,4749,205,0,N
LP087,Male,Yes,Not Graduate,Yes,7111,197,1,Y
LP088,Male,No,Graduate,No,3669,228,1,N
LP089,Male,No,Not Graduate,No,12838,144,0,N
LP090,Male,No,Not Graduate,Yes,3729,160,1,N
LP091,Female,No,Not Graduate,No,14022,183,1,Y
LP092,Female,No,Graduate,Yes,7280,268,0,N
LP093,Male,No,Not Graduate,No,14295,168,1,Y
LP094,Female,No,Not Graduate,No,4979,174,0,N
LP095,Male,Yes,Graduate,Yes,11767,229,1,Y
LP096,Female,No,Graduate,No,13797,154,1,Y
LP097,Male,No,Not Graduate,Yes,14991,54,0,N
LP098,Female,No,Not Graduate,No,7016,219,1,Y
LP099,Female,No,Not Graduate,Yes,7764,229,1,Y
LP100,Male,Yes,Not Graduate,Yes,3976,234,0,N
